epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,1411.71,1.36808,0.718,1.05225,0.8851,0.78193,0.84132,0.36568,2.02411,1.27381,1.34102,0.0005744,0.0005744,0.0005744
110,1424.55,1.39458,0.7241,1.07313,0.85964,0.78571,0.83467,0.37376,2.00892,1.22474,1.33042,0.0005612,0.0005612,0.0005612
111,1437.41,1.40927,0.7368,1.06663,0.90136,0.75576,0.83811,0.37211,2.03544,1.18049,1.34963,0.000548,0.000548,0.000548
112,1450.23,1.37137,0.72229,1.06861,0.89265,0.77444,0.84821,0.38481,1.99235,1.15342,1.33687,0.0005348,0.0005348,0.0005348
113,1463.13,1.35857,0.71146,1.05279,0.86176,0.78947,0.82333,0.37811,1.98838,1.2263,1.31877,0.0005216,0.0005216,0.0005216
114,1475.97,1.32979,0.6954,1.0333,0.89784,0.75995,0.83847,0.37901,2.03932,1.27126,1.34532,0.0005084,0.0005084,0.0005084
115,1488.81,1.3615,0.7019,1.05532,0.90035,0.74731,0.8316,0.37213,2.04609,1.26289,1.36223,0.0004952,0.0004952,0.0004952
116,1501.64,1.32943,0.68693,1.05113,0.86183,0.81203,0.84507,0.38437,2.01294,1.14535,1.34387,0.000482,0.000482,0.000482
117,1514.47,1.34199,0.67425,1.04333,0.8615,0.79506,0.85032,0.382,2.02691,1.25265,1.35245,0.0004688,0.0004688,0.0004688
118,1527.29,1.31389,0.68377,1.04243,0.86342,0.78427,0.84226,0.37562,2.04992,1.20989,1.35334,0.0004556,0.0004556,0.0004556
119,1540.13,1.3327,0.67783,1.05754,0.90394,0.78947,0.84909,0.37817,2.05136,1.24964,1.35054,0.0004424,0.0004424,0.0004424
120,1552.96,1.31742,0.6826,1.03871,0.90805,0.77961,0.84082,0.3833,2.04551,1.23995,1.34627,0.0004292,0.0004292,0.0004292
121,1565.85,1.34569,0.69028,1.0231,0.8871,0.76805,0.82953,0.38578,1.98552,1.18454,1.35388,0.000416,0.000416,0.000416
122,1578.69,1.3254,0.68002,1.04617,0.90421,0.78075,0.85583,0.38355,1.95407,1.12153,1.33806,0.0004028,0.0004028,0.0004028
123,1591.58,1.30107,0.67982,1.0365,0.90448,0.78318,0.85334,0.39181,1.96722,1.17368,1.31293,0.0003896,0.0003896,0.0003896
124,1604.91,1.2833,0.65414,1.03409,0.91241,0.76692,0.84624,0.39291,1.9719,1.24644,1.34866,0.0003764,0.0003764,0.0003764
125,1618.24,1.28439,0.65677,1.01246,0.85788,0.81697,0.85085,0.37812,2.03739,1.21315,1.36233,0.0003632,0.0003632,0.0003632
126,1631.07,1.29768,0.66759,1.05903,0.89183,0.77484,0.84169,0.38354,1.99783,1.23012,1.36494,0.00035,0.00035,0.00035
127,1643.91,1.28336,0.66232,1.04112,0.8773,0.8064,0.84033,0.38106,1.99458,1.23443,1.35675,0.0003368,0.0003368,0.0003368
128,1656.75,1.27904,0.67379,1.03174,0.90804,0.76316,0.84873,0.38018,2.01885,1.2662,1.37026,0.0003236,0.0003236,0.0003236
129,1669.58,1.22538,0.64582,1.02497,0.90498,0.7594,0.83966,0.37877,2.00129,1.23943,1.32552,0.0003104,0.0003104,0.0003104
130,1682.42,1.23967,0.63927,1.0087,0.89911,0.80404,0.85907,0.38379,1.99446,1.26584,1.3521,0.0002972,0.0002972,0.0002972
131,1695.26,1.30229,0.65251,1.01102,0.93404,0.77444,0.85346,0.38224,1.97762,1.22083,1.37826,0.000284,0.000284,0.000284
132,1708.15,1.247,0.64297,1.00668,0.9171,0.76692,0.85015,0.3887,1.96689,1.18945,1.33857,0.0002708,0.0002708,0.0002708
133,1721,1.28942,0.66591,1.04317,0.91058,0.78571,0.8469,0.38927,1.98551,1.23403,1.32687,0.0002576,0.0002576,0.0002576
134,1733.88,1.21658,0.63776,0.99143,0.90591,0.78571,0.85028,0.37769,2.01459,1.22998,1.338,0.0002444,0.0002444,0.0002444
135,1746.74,1.23055,0.62493,1.00499,0.88548,0.79699,0.85772,0.39152,1.97799,1.20077,1.31859,0.0002312,0.0002312,0.0002312
136,1759.58,1.22438,0.62532,0.99191,0.91541,0.76692,0.85018,0.38658,1.97694,1.1805,1.31639,0.000218,0.000218,0.000218
137,1772.43,1.24441,0.64726,1.03121,0.88437,0.79323,0.84654,0.38561,2.0005,1.21719,1.34513,0.0002048,0.0002048,0.0002048
138,1785.27,1.22057,0.633,0.99579,0.91084,0.78195,0.85636,0.38136,2.01225,1.20988,1.35754,0.0001916,0.0001916,0.0001916
139,1798.14,1.23426,0.63448,1.03282,0.90454,0.78367,0.85943,0.38731,2.01886,1.22322,1.36115,0.0001784,0.0001784,0.0001784
